"Fleet","Fleet_Name","Yr","Seas","2dAR off","base2026","No age sel","sigma_down.25","sigma_up.25"
17,"F17_JPLL_A4_num",2009,3,77.393,74.948,76.751,74.867,75.18
17,"F17_JPLL_A4_num",2010,1,4.529,4.552,4.54,4.543,4.553
17,"F17_JPLL_A4_num",2010,2,1.813,1.813,1.817,1.814,1.812
17,"F17_JPLL_A4_num",2010,3,15.961,16.752,15.938,16.133,17.094
17,"F17_JPLL_A4_num",2010,4,67.54,71.962,65.704,68.676,73.918
17,"F17_JPLL_A4_num",2011,1,110.697,115.397,109.063,111.606,117.847
17,"F17_JPLL_A4_num",2011,3,97.563,100.051,98.662,95.061,101.96
17,"F17_JPLL_A4_num",2011,4,18.619,18.934,18.757,18.574,19.15
17,"F17_JPLL_A4_num",2012,1,39.19,39.139,39.266,39.762,38.902
17,"F17_JPLL_A4_num",2012,2,15.898,15.923,15.933,16.042,15.883
17,"F17_JPLL_A4_num",2012,3,282.337,286.231,275.091,278.585,289.809
17,"F17_JPLL_A4_num",2012,4,103.776,101.927,101.762,102.203,101.246
17,"F17_JPLL_A4_num",2013,1,9.357,9.374,9.403,9.3,9.407
17,"F17_JPLL_A4_num",2013,2,30.02,30.811,30.5,31.31,30.756
17,"F17_JPLL_A4_num",2013,3,50.027,50.881,50.649,51.831,50.639
17,"F17_JPLL_A4_num",2014,1,5.086,5.139,5.124,5.093,5.169
17,"F17_JPLL_A4_num",2014,2,16.478,16.405,16.571,16.687,16.253
17,"F17_JPLL_A4_num",2014,4,210.368,213.224,213.717,210.418,213.609
17,"F17_JPLL_A4_num",2015,3,134.726,132.722,130.83,135.487,131.267
17,"F17_JPLL_A4_num",2015,4,20.592,20.419,20.514,20.813,20.175
17,"F17_JPLL_A4_num",2016,2,266.161,277.121,265.234,269.172,282.466
17,"F17_JPLL_A4_num",2016,3,169.191,166.303,167.96,160.982,170.274
17,"F17_JPLL_A4_num",2017,3,167.803,176.416,168.656,164.873,185.796
17,"F17_JPLL_A4_num",2017,4,55.679,60.09,56.805,56.528,62.788
17,"F17_JPLL_A4_num",2018,2,60.897,60.894,60.672,61.397,60.151
17,"F17_JPLL_A4_num",2018,3,28.779,30.009,29.245,28.991,30.754
17,"F17_JPLL_A4_num",2019,1,7.02,7.072,7.04,7.032,7.096
17,"F17_JPLL_A4_num",2019,2,16.391,16.593,16.55,16.284,16.89
17,"F17_JPLL_A4_num",2019,3,214.602,199.6,212.363,211.036,189.628
17,"F17_JPLL_A4_num",2019,4,121.957,137.037,125.813,126.573,147.31
17,"F17_JPLL_A4_num",2020,2,11.957,12.23,12.04,12.166,12.259
17,"F17_JPLL_A4_num",2020,3,34.56,36.572,35.291,35.818,37.085
17,"F17_JPLL_A4_num",2023,2,3.355,3.315,3.374,3.355,3.287
17,"F17_JPLL_A4_num",2023,3,11.175,10.805,11.195,11.164,10.588
17,"F17_JPLL_A4_num",2024,1,11.809,11.588,11.904,11.851,11.415
17,"F17_JPLL_A4_num",2024,2,8.421,8.357,8.465,8.419,8.315
18,"F18_JPLL_A5_num",1995,4,68.646,65.696,66.23,67.425,64.339
18,"F18_JPLL_A5_num",2003,4,67.303,55.063,62.777,60.423,52.263
18,"F18_JPLL_A5_num",2004,2,35.37,32.237,33.657,33.68,31.464
18,"F18_JPLL_A5_num",2004,3,33.008,31.703,35.791,33.002,31.069
18,"F18_JPLL_A5_num",2004,4,147.503,140.551,161.984,146.19,137.32
18,"F18_JPLL_A5_num",2005,4,33.349,35.587,31.727,33.567,36.954
