"Fleet","Fleet_Name","Yr","Seas","base2026","h=0.75","h=0.80","h=0.85"
17,"F17_JPLL_A4_num",2009,1,51.775,51.775,51.775,51.775
17,"F17_JPLL_A4_num",2009,3,74.948,74.948,74.948,74.948
17,"F17_JPLL_A4_num",2010,1,4.552,4.552,4.552,4.552
17,"F17_JPLL_A4_num",2010,2,1.813,1.813,1.813,1.813
17,"F17_JPLL_A4_num",2010,3,16.752,16.752,16.752,16.752
17,"F17_JPLL_A4_num",2010,4,71.962,71.962,71.962,71.962
17,"F17_JPLL_A4_num",2011,1,115.397,115.397,115.397,115.397
17,"F17_JPLL_A4_num",2011,3,100.051,100.05,100.05,100.05
17,"F17_JPLL_A4_num",2011,4,18.934,18.934,18.934,18.934
17,"F17_JPLL_A4_num",2012,1,39.139,39.139,39.139,39.139
17,"F17_JPLL_A4_num",2012,2,15.923,15.923,15.923,15.923
17,"F17_JPLL_A4_num",2012,3,286.231,286.23,286.23,286.23
17,"F17_JPLL_A4_num",2012,4,101.927,101.927,101.927,101.927
17,"F17_JPLL_A4_num",2013,1,9.374,9.374,9.374,9.374
17,"F17_JPLL_A4_num",2013,2,30.811,30.811,30.811,30.811
17,"F17_JPLL_A4_num",2013,3,50.881,50.882,50.882,50.882
17,"F17_JPLL_A4_num",2014,1,5.139,5.139,5.139,5.139
17,"F17_JPLL_A4_num",2014,2,16.405,16.405,16.405,16.405
17,"F17_JPLL_A4_num",2014,4,213.224,213.224,213.224,213.224
17,"F17_JPLL_A4_num",2015,3,132.722,132.722,132.722,132.722
17,"F17_JPLL_A4_num",2015,4,20.419,20.419,20.419,20.419
17,"F17_JPLL_A4_num",2016,2,277.121,277.121,277.121,277.121
17,"F17_JPLL_A4_num",2016,3,166.303,166.303,166.303,166.303
17,"F17_JPLL_A4_num",2017,3,176.416,176.416,176.416,176.416
17,"F17_JPLL_A4_num",2017,4,60.09,60.09,60.09,60.09
17,"F17_JPLL_A4_num",2018,2,60.894,60.894,60.894,60.894
17,"F17_JPLL_A4_num",2018,3,30.009,30.009,30.009,30.009
17,"F17_JPLL_A4_num",2019,1,7.072,7.072,7.072,7.072
17,"F17_JPLL_A4_num",2019,2,16.593,16.593,16.593,16.593
17,"F17_JPLL_A4_num",2019,3,199.6,199.599,199.599,199.599
17,"F17_JPLL_A4_num",2019,4,137.037,137.037,137.037,137.037
17,"F17_JPLL_A4_num",2020,2,12.23,12.23,12.23,12.23
17,"F17_JPLL_A4_num",2020,3,36.572,36.572,36.572,36.572
17,"F17_JPLL_A4_num",2023,2,3.315,3.315,3.315,3.315
17,"F17_JPLL_A4_num",2023,3,10.805,10.805,10.805,10.805
17,"F17_JPLL_A4_num",2024,1,11.588,11.588,11.588,11.588
17,"F17_JPLL_A4_num",2024,2,8.357,8.357,8.357,8.357
18,"F18_JPLL_A5_num",1995,4,65.696,65.695,65.695,65.695
18,"F18_JPLL_A5_num",2003,4,55.063,55.063,55.063,55.063
18,"F18_JPLL_A5_num",2004,2,32.237,32.237,32.237,32.237
18,"F18_JPLL_A5_num",2004,3,31.703,31.703,31.703,31.703
18,"F18_JPLL_A5_num",2004,4,140.551,140.551,140.551,140.551
18,"F18_JPLL_A5_num",2005,4,35.587,35.587,35.587,35.587
18,"F18_JPLL_A5_num",2006,4,41.413,41.413,41.413,41.413
18,"F18_JPLL_A5_num",2007,4,11.267,11.267,11.267,11.267
18,"F18_JPLL_A5_num",2008,4,27.774,27.774,27.774,27.774
18,"F18_JPLL_A5_num",2009,3,29.823,29.823,29.823,29.823
18,"F18_JPLL_A5_num",2011,3,25.536,25.536,25.536,25.536
18,"F18_JPLL_A5_num",2011,4,54.608,54.608,54.608,54.608
19,"F19_JPPL_A35_Q1",2002,1,25.979,25.979,25.979,25.979
19,"F19_JPPL_A35_Q1",2004,1,35.687,35.687,35.687,35.687
19,"F19_JPPL_A35_Q1",2005,1,16.21,16.21,16.21,16.21
19,"F19_JPPL_A35_Q1",2007,1,7.953,7.953,7.953,7.953
19,"F19_JPPL_A35_Q1",2022,1,6.888,6.888,6.888,6.888
19,"F19_JPPL_A35_Q1",2023,1,21.452,21.454,21.454,21.454
20,"F20_JPPL_A35_Q2",1994,2,2.651,2.651,2.651,2.651
20,"F20_JPPL_A35_Q2",1995,2,4.862,4.862,4.862,4.862
20,"F20_JPPL_A35_Q2",1996,2,18.77,18.77,18.77,18.77
20,"F20_JPPL_A35_Q2",1997,2,153.862,153.861,153.861,153.861
20,"F20_JPPL_A35_Q2",1998,2,3.852,3.852,3.852,3.852
20,"F20_JPPL_A35_Q2",1999,2,24.303,24.302,24.302,24.302
20,"F20_JPPL_A35_Q2",2000,2,3.078,3.078,3.078,3.078
20,"F20_JPPL_A35_Q2",2001,2,8.17,8.17,8.17,8.17
20,"F20_JPPL_A35_Q2",2002,2,33.177,33.177,33.177,33.177
20,"F20_JPPL_A35_Q2",2003,2,99.48,99.48,99.48,99.48
20,"F20_JPPL_A35_Q2",2004,2,15.808,15.808,15.808,15.808
20,"F20_JPPL_A35_Q2",2005,2,12.951,12.951,12.951,12.951
20,"F20_JPPL_A35_Q2",2006,2,62.898,62.898,62.898,62.898
20,"F20_JPPL_A35_Q2",2007,2,58.243,58.242,58.242,58.242
20,"F20_JPPL_A35_Q2",2008,2,24.05,24.05,24.05,24.05
20,"F20_JPPL_A35_Q2",2009,2,99.658,99.658,99.658,99.658
20,"F20_JPPL_A35_Q2",2010,2,45.423,45.423,45.423,45.423
20,"F20_JPPL_A35_Q2",2011,2,27.262,27.262,27.262,27.262
20,"F20_JPPL_A35_Q2",2012,2,26.658,26.658,26.658,26.658
20,"F20_JPPL_A35_Q2",2013,2,18.947,18.947,18.947,18.947
20,"F20_JPPL_A35_Q2",2014,2,30.105,30.106,30.106,30.106
20,"F20_JPPL_A35_Q2",2015,2,20.968,20.968,20.968,20.968
20,"F20_JPPL_A35_Q2",2016,2,83.491,83.49,83.49,83.49
20,"F20_JPPL_A35_Q2",2017,2,50.064,50.064,50.064,50.064
20,"F20_JPPL_A35_Q2",2018,2,24.745,24.745,24.745,24.745
20,"F20_JPPL_A35_Q2",2019,2,8.05,8.05,8.05,8.05
20,"F20_JPPL_A35_Q2",2020,2,22.463,22.463,22.463,22.463
20,"F20_JPPL_A35_Q2",2021,2,3.616,3.616,3.616,3.616
20,"F20_JPPL_A35_Q2",2022,2,2.577,2.577,2.577,2.577
20,"F20_JPPL_A35_Q2",2023,2,56.84,56.843,56.843,56.843
20,"F20_JPPL_A35_Q2",2024,2,12.611,12.61,12.61,12.61
