"Fleet","Fleet_Name","Yr","Seas","base2023","base2026"
11,"F11_JPLL_A2_Q3_wt",2013,3,NA,222.984
11,"F11_JPLL_A2_Q3_wt",2014,3,NA,183.141
11,"F11_JPLL_A2_Q3_wt",2015,3,NA,206.465
11,"F11_JPLL_A2_Q3_wt",2016,3,NA,222.934
11,"F11_JPLL_A2_Q3_wt",2017,3,NA,249.628
11,"F11_JPLL_A2_Q3_wt",2018,3,NA,256.298
11,"F11_JPLL_A2_Q3_wt",2019,3,NA,136.188
11,"F11_JPLL_A2_Q3_wt",2020,3,NA,9.339
11,"F11_JPLL_A2_Q3_wt",2021,3,NA,42.711
11,"F11_JPLL_A2_Q3_wt",2022,3,NA,55.556
11,"F11_JPLL_A2_Q3_wt",2023,3,NA,20.874
11,"F11_JPLL_A2_Q3_wt",2024,3,NA,148.558
12,"F12_JPLL_A2_Q2_wt_9621",2000,2,28.889,NA
12,"F12_JPLL_A2_Q2_wt_9621",2001,2,119.757,NA
12,"F12_JPLL_A2_Q2_wt_9621",2002,2,208.256,NA
12,"F12_JPLL_A2_Q2_wt_9621",2003,2,16.33,NA
12,"F12_JPLL_A2_Q2_wt_9621",2004,2,262.729,NA
12,"F12_JPLL_A2_Q2_wt_9621",2005,2,73.034,NA
12,"F12_JPLL_A2_Q2_wt_9621",2006,2,117.568,NA
12,"F12_JPLL_A2_Q2_wt_9621",2007,2,56.256,NA
12,"F12_JPLL_A2_Q2_wt_9621",2008,2,85.66,NA
12,"F12_JPLL_A2_Q2_wt_9621",2009,2,213.465,NA
12,"F12_JPLL_A2_Q2_wt_9621",2010,2,560.415,NA
12,"F12_JPLL_A2_Q2_wt_9621",2011,2,87.791,NA
12,"F12_JPLL_A2_Q2_wt_9621",2012,2,139.798,NA
12,"F12_JPLL_A2_Q2_wt_9621",2013,2,212.411,NA
12,"F12_JPLL_A2_Q2_wt_9621",2014,2,446.053,NA
12,"F12_JPLL_A2_Q2_wt_9621",2015,2,101.022,NA
12,"F12_JPLL_A2_Q2_wt_9621",2016,2,102.136,NA
12,"F12_JPLL_A2_Q2_wt_9621",2017,2,138.43,NA
12,"F12_JPLL_A2_Q2_wt_9621",2018,2,208.889,NA
12,"F12_JPLL_A2_Q2_wt_9621",2019,2,104.965,NA
12,"F12_JPLL_A2_Q2_wt_9621",2020,2,146.6,NA
12,"F12_JPLL_A2_Q2_wt_9621",2021,2,31.786,NA
12,"F12_JPLL_A2_Q4_wt",1994,4,NA,44.329
12,"F12_JPLL_A2_Q4_wt",1996,4,NA,41.36
12,"F12_JPLL_A2_Q4_wt",1997,4,NA,51.639
12,"F12_JPLL_A2_Q4_wt",1999,4,NA,62.308
12,"F12_JPLL_A2_Q4_wt",2001,4,NA,162.81
12,"F12_JPLL_A2_Q4_wt",2002,4,NA,106.192
12,"F12_JPLL_A2_Q4_wt",2003,4,NA,42.684
12,"F12_JPLL_A2_Q4_wt",2004,4,NA,69.198
12,"F12_JPLL_A2_Q4_wt",2005,4,NA,46.68
12,"F12_JPLL_A2_Q4_wt",2006,4,NA,267.672
12,"F12_JPLL_A2_Q4_wt",2007,4,NA,68.391
12,"F12_JPLL_A2_Q4_wt",2008,4,NA,318.3
12,"F12_JPLL_A2_Q4_wt",2009,4,NA,269.373
12,"F12_JPLL_A2_Q4_wt",2010,4,NA,82.144
12,"F12_JPLL_A2_Q4_wt",2011,4,NA,260.059
12,"F12_JPLL_A2_Q4_wt",2012,4,NA,56.558
12,"F12_JPLL_A2_Q4_wt",2013,4,NA,47.546
12,"F12_JPLL_A2_Q4_wt",2014,4,NA,291.49
12,"F12_JPLL_A2_Q4_wt",2015,4,NA,126.623
12,"F12_JPLL_A2_Q4_wt",2016,4,NA,137.932
12,"F12_JPLL_A2_Q4_wt",2017,4,NA,112.16
12,"F12_JPLL_A2_Q4_wt",2018,4,NA,140.316
12,"F12_JPLL_A2_Q4_wt",2019,4,NA,109.11
12,"F12_JPLL_A2_Q4_wt",2020,4,NA,103.612
12,"F12_JPLL_A2_Q4_wt",2021,4,NA,96.009
12,"F12_JPLL_A2_Q4_wt",2022,4,NA,51.023
12,"F12_JPLL_A2_Q4_wt",2023,4,NA,35.842
12,"F12_JPLL_A2_Q4_wt",2024,4,NA,49.627
13,"F13_JPLL_A2_Q3_wt",2001,3,117.22,NA
13,"F13_JPLL_A2_Q3_wt",2002,3,150.734,NA
13,"F13_JPLL_A2_Q3_wt",2003,3,63.719,NA
13,"F13_JPLL_A2_Q3_wt",2004,3,218.065,NA
13,"F13_JPLL_A2_Q3_wt",2005,3,69.103,NA
13,"F13_JPLL_A2_Q3_wt",2006,3,109.854,NA
13,"F13_JPLL_A2_Q3_wt",2007,3,67.458,NA
13,"F13_JPLL_A2_Q3_wt",2008,3,65.082,NA
13,"F13_JPLL_A2_Q3_wt",2009,3,196.998,NA
13,"F13_JPLL_A2_Q3_wt",2010,3,145.895,NA
13,"F13_JPLL_A2_Q3_wt",2011,3,679.15,NA
13,"F13_JPLL_A2_Q3_wt",2012,3,344.361,NA
13,"F13_JPLL_A2_Q3_wt",2013,3,129.223,NA
13,"F13_JPLL_A2_Q3_wt",2014,3,273.024,NA
13,"F13_JPLL_A2_Q3_wt",2015,3,110.461,NA
13,"F13_JPLL_A2_Q3_wt",2016,3,92.528,NA
13,"F13_JPLL_A2_Q3_wt",2017,3,369.286,NA
13,"F13_JPLL_A2_Q3_wt",2018,3,482.551,NA
13,"F13_JPLL_A2_Q3_wt",2019,3,187.748,NA
13,"F13_JPLL_A2_Q3_wt",2020,3,8.127,NA
13,"F13_JPLL_A2_Q3_wt",2021,3,25.657,NA
14,"F14_JPLL_A2_Q4_wt",1994,4,34.48,NA
14,"F14_JPLL_A2_Q4_wt",1996,4,46.252,NA
14,"F14_JPLL_A2_Q4_wt",1997,4,37.615,NA
14,"F14_JPLL_A2_Q4_wt",1999,4,23.744,NA
14,"F14_JPLL_A2_Q4_wt",2001,4,184.779,NA
